"Indicador";"Periodo";"Valor";"Categoría 1";"Categoría 1-Valor";"Categoría 2";"Categoría 2-Valor";"Categoría 3";"Categoría 3-Valor";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2023";"17.1";"Sexo, edad y TTHH";"Total";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2023";"17.7";"Sexo, edad y TTHH";"Gipuzkoa";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2023";"18.8";"Sexo, edad y TTHH";"Hombres";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2023";"22.5";"Sexo, edad y TTHH";"15-19 años";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2022";"14.4";"Sexo, edad y TTHH";"Mujeres";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2022";"16.2";"Sexo, edad y TTHH";"25-29 años";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2022";"16.4";"Sexo, edad y TTHH";"20-24 años";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2022";"16.9";"Sexo, edad y TTHH";"Álava";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2022";"17.2";"Sexo, edad y TTHH";"Bizkaia";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2022";"17.2";"Sexo, edad y TTHH";"Gipuzkoa";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2022";"17.2";"Sexo, edad y TTHH";"Total";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2022";"18.9";"Sexo, edad y TTHH";"15-19 años";"";"";"";"";
"Porcentaje de jóvenes que han creado contenidos en Internet, por sexo, edad y TTHH";"2022";"19.9";"Sexo, edad y TTHH";"Hombres";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2023";"45.9";"Sexo, edad y TTHH";"Mujeres";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2023";"47.9";"Sexo, edad y TTHH";"20-24 años";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2023";"51.6";"Sexo, edad y TTHH";"Bizkaia";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2023";"52.8";"Sexo, edad y TTHH";"Total";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2023";"53";"Sexo, edad y TTHH";"25-29 años";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2023";"54.9";"Sexo, edad y TTHH";"Gipuzkoa";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2023";"56.4";"Sexo, edad y TTHH";"Álava";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2023";"57.8";"Sexo, edad y TTHH";"15-19 años";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2023";"59.5";"Sexo, edad y TTHH";"Hombres";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"52.2";"Sexo, edad y TTHH";"Mujeres";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"54.6";"Sexo, edad y TTHH";"Bizkaia";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"55.2";"Sexo, edad y TTHH";"20-24 años";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"55.3";"Sexo, edad y TTHH";"25-29 años";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"55.8";"Sexo, edad y TTHH";"Álava";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"56.4";"Sexo, edad y TTHH";"Total";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"58.7";"Sexo, edad y TTHH";"15-19 años";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"59.4";"Sexo, edad y TTHH";"Gipuzkoa";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2021";"60.7";"Sexo, edad y TTHH";"Hombres";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"37.2";"Sexo, edad y TTHH";"Mujeres";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"44.2";"Sexo, edad y TTHH";"25-29 años";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"48.3";"Sexo, edad y TTHH";"Bizkaia";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"48.3";"Sexo, edad y TTHH";"Álava";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"49";"Sexo, edad y TTHH";"Total";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"49.2";"Sexo, edad y TTHH";"20-24 años";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"50.3";"Sexo, edad y TTHH";"Gipuzkoa";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"54.5";"Sexo, edad y TTHH";"15-19 años";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2016";"60.3";"Sexo, edad y TTHH";"Hombres";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"29.6";"Sexo, edad y TTHH";"Mujeres";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"35";"Sexo, edad y TTHH";"25-29 años";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"35.5";"Sexo, edad y TTHH";"Bizkaia";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"39.2";"Sexo, edad y TTHH";"20-24 años";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"40.2";"Sexo, edad y TTHH";"Total";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"41.4";"Sexo, edad y TTHH";"Álava";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"47.3";"Sexo, edad y TTHH";"Gipuzkoa";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"49.3";"Sexo, edad y TTHH";"15-19 años";"";"";"";"";
"Práctica regular de deporte entre jóvenes de 15 a 29 años, según sexo, edad y TTHH";"2012";"50.2";"Sexo, edad y TTHH";"Hombres";"";"";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2023";"6.8";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"20-24 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2023";"6.8";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"25-29 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2023";"6.8";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Mujeres";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2023";"6.9";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Bizkaia";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2023";"6.9";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Álava";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2023";"7";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Gipuzkoa";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2023";"7";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Total";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2023";"7.1";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Hombres";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2023";"7.2";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"15-19 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2022";"6.5";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"20-24 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2022";"6.5";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"25-29 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2022";"6.5";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Mujeres";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2022";"6.6";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Gipuzkoa";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2022";"6.6";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Álava";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2022";"6.7";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Bizkaia";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2022";"6.7";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Total";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2022";"6.8";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Hombres";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2022";"7";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"15-19 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2021";"6.7";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"25-29 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2021";"6.8";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"20-24 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2021";"6.8";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Mujeres";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2021";"6.9";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Gipuzkoa";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2021";"7";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Bizkaia";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2021";"7";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Total";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2021";"7.2";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Hombres";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2021";"7.2";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Álava";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2021";"7.4";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"15-19 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2020";"6.9";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"20-24 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2020";"6.9";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Mujeres";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2020";"7";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"25-29 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2020";"7";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Bizkaia";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2020";"7";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Total";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2020";"7.1";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Gipuzkoa";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2020";"7.1";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Álava";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2020";"7.2";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"15-19 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2020";"7.2";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Hombres";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2019";"7";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Álava";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2019";"7.1";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"25-29 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2019";"7.2";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"20-24 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2019";"7.2";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Bizkaia";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2019";"7.3";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Hombres";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2019";"7.3";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Mujeres";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2019";"7.3";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Total";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2019";"7.4";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"15-19 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2019";"7.4";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Gipuzkoa";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2018";"7.3";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Álava";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2018";"7.4";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"20-24 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2018";"7.5";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"25-29 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2018";"7.5";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Bizkaia";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2018";"7.5";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Hombres";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2018";"7.5";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Mujeres";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2018";"7.5";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Total";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2018";"7.6";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"15-19 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2018";"7.6";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Gipuzkoa";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2017";"7.4";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"20-24 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2017";"7.5";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"25-29 años";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2017";"7.5";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Gipuzkoa";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2017";"7.5";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Mujeres";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2017";"7.5";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Total";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2017";"7.5";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Álava";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2017";"7.6";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Bizkaia";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2017";"7.6";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"Hombres";"";"";
"Satisfacción con el tiempo libre de la juventud, según sexo, edad y TTHH";"2017";"7.8";"Satisfacción 0-10";"Satisfacción 0-10";"Sexo, edad y TTHH";"15-19 años";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2023";"63.7";"Sexo, edad y TTHH";"25-29 años";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2023";"68.6";"Sexo, edad y TTHH";"Gipuzkoa";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2023";"71.9";"Sexo, edad y TTHH";"Hombres";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2023";"72";"Sexo, edad y TTHH";"Mujeres";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2023";"72";"Sexo, edad y TTHH";"Total";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2023";"74.7";"Sexo, edad y TTHH";"Bizkaia";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2023";"75.5";"Sexo, edad y TTHH";"15-19 años";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2023";"76.1";"Sexo, edad y TTHH";"Álava";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2023";"76.2";"Sexo, edad y TTHH";"20-24 años";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2022";"55.6";"Sexo, edad y TTHH";"25-29 años";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2022";"67.2";"Sexo, edad y TTHH";"Bizkaia";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2022";"67.2";"Sexo, edad y TTHH";"Mujeres";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2022";"68.1";"Sexo, edad y TTHH";"Álava";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2022";"68.4";"Sexo, edad y TTHH";"Total";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2022";"69.6";"Sexo, edad y TTHH";"Hombres";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2022";"70.4";"Sexo, edad y TTHH";"Gipuzkoa";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2022";"73.5";"Sexo, edad y TTHH";"20-24 años";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2022";"75.6";"Sexo, edad y TTHH";"15-19 años";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2018";"30.2";"Sexo, edad y TTHH";"15-19 años";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2018";"31.2";"Sexo, edad y TTHH";"Álava";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2018";"33.2";"Sexo, edad y TTHH";"Hombres";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2018";"35.5";"Sexo, edad y TTHH";"Gipuzkoa";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2018";"35.6";"Sexo, edad y TTHH";"Total";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2018";"37";"Sexo, edad y TTHH";"20-24 años";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2018";"37.7";"Sexo, edad y TTHH";"Bizkaia";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2018";"38";"Sexo, edad y TTHH";"Mujeres";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2018";"39.3";"Sexo, edad y TTHH";"25-29 años";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2016";"19.7";"Sexo, edad y TTHH";"25-29 años";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2016";"22.6";"Sexo, edad y TTHH";"Álava";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2016";"31.9";"Sexo, edad y TTHH";"Hombres";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2016";"33.1";"Sexo, edad y TTHH";"Total";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2016";"33.2";"Sexo, edad y TTHH";"20-24 años";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2016";"34.5";"Sexo, edad y TTHH";"Mujeres";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2016";"35";"Sexo, edad y TTHH";"Gipuzkoa";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2016";"35.1";"Sexo, edad y TTHH";"Bizkaia";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso de tres o más redes sociales a diario, según sexo, edad y TTHH";"2016";"49.6";"Sexo, edad y TTHH";"15-19 años";"Uso de 3 o más redes sociales a diario";"3 o más RRSS a diario";"";"";
"Uso diario de distintas redes sociales, según sexo, edad y TTHH";"2023";"0";"Sexo y grupos de edad";"Mujeres";"Redes sociales";"Tinder, Meetic, etc.";"";"";
"Uso diario de distintas redes sociales, según sexo, edad y TTHH";"2023";"0.3";"Sexo y grupos de edad";"25-29";"Redes sociales";"Snapchat";"";"";
"Uso diario de distintas redes sociales, según sexo, edad y TTHH";"2023";"0.7";"Sexo y grupos de edad";"15-19";"Redes sociales";"Tinder, Meetic, etc.";"";"";
"Uso diario de distintas redes sociales, según sexo, edad y TTHH";"2023";"1.4";"Sexo y grupos de edad";"15-19";"Redes sociales";"Facebook";"";"";
"Uso diario de distintas redes sociales, según sexo, edad y TTHH";"2023";"1.6";"Sexo y grupos de edad";"Hombres";"Redes sociales";"Snapchat";"";"";
"Uso diario de distintas redes sociales, según sexo, edad y TTHH";"2023";"1.7";"Sexo y grupos de edad";"Hombres";"Redes sociales";"Twitch";"";"";
"Uso diario de distintas redes sociales, según sexo, edad y TTHH";"2023";"1.9";"Sexo y grupos de edad";"15-19";"Redes sociales";"Linkedin";"";"";
"Uso diario de distintas redes sociales, según sexo, edad y TTHH";"2023";"2.6";"Sexo y grupos de edad";"Total";"Redes sociales";"Tinder, Meetic, etc.";"";"";
